id,name,lat,lon,coord_source,wikidata_id,score,decision,confidence,notes,wikidata_description,wiki_snippet,episodes,accept,reviewer_notes
list-of-locations,List of Locations,,,,,10,reject,low,no-coords,,"This is a <span class=""searchmatch"">list</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">locations</span> from which ESPN&#039;s College GameDay has been broadcast since it first ","[1, 2000]",false,
judo-island,Judo Island,1.0,1.1,,,60,accept,medium,,,"<span class=""searchmatch"">Judo</span>, for the 2019 <span class=""searchmatch"">Island</span> Games, held at the Devils Tower Camp - Gym, Gibraltar in July 2019.   *   Host nation (Gibraltar) &quot;2019","[1, 2000]",true,
2000-year-island,2000 Year Island,,,,,10,reject,low,no-coords,,"the International <span class=""searchmatch"">Year</span> for the Culture of Peace and the World Mathematical <span class=""searchmatch"">Year</span>. Popular culture holds the <span class=""searchmatch"">y","[1, 2000]",false,
trans-town,Trans Town,,,,,10,reject,low,no-coords,,"the <span class=""searchmatch"">Trans</span>-Mongolian Railway, which coincides with the <span class=""searchmatch"">Trans</span>-Siberian as far as Ulan-Ude on Lake Baikal&#039;s eastern shore. From Ulan","[1, 2000]",false,
carbador-island,Carbador Island,1.0,1.1,,,50,review,low,,,,"[1, 2000]",false,
s-mart,S.Mart,,,,,10,reject,low,no-coords,,"with Soriana and Wal-<span class=""searchmatch"">Mart</span>. <span class=""searchmatch"">S</span>-<span class=""searchmatch"">Mart</span> opened its first store in Ciudad Juárez, then later expanded to 33 ","[1, 2000]",false,
marron,Marron,1.0,1.1,,,60,accept,medium,,,"<span class=""searchmatch"">Marron</span> is a name given to two closely related species of crayfish in Western Australia. Formerly considered a single species, it is since recognised as","[1, 1993]",true,
tomac,Tomac,1.0,1.1,,,60,accept,medium,,,"Eli <span class=""searchmatch"">Tomac</span> (born November 14, 1992) is an American professional Motocross and Supercross racer who competes in the AMA Supercross and Motocross championships;","[1, 1989]",true,
riba-riba-no-mi,Riba Riba no Mi,1.0,1.1,,,60,accept,medium,,,"Toni <span class=""searchmatch"">Ribas</span> (born Antoni García Cabra on 13 June 1975) is a Spanish pornographic actor and director. In 2010, he was inducted into the AVN Hall of Fame","[1, 1982]",true,
rurubu-one-piece,Rurubu One Piece,1.0,1.1,,,60,accept,medium,,,"release is the original <span class=""searchmatch"">one</span>. The game was later published by Kemco for the Japanese release. The Nintendo release is the original <span class=""searchmatch"">one</span>.","[1, 1977]",true,
