id,name,lat,lon,coord_source,wikidata_id,wikidata_description,wiki_snippet,episodes
list-of-locations,List of Locations,,,,,,"This is a <span class=""searchmatch"">list</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">locations</span> from which ESPN&#039;s College GameDay has been broadcast since it first went on the road in 1993. Winners are <span class=""searchmatch"">listed</span> in bold. All","[1, 2000]"
judo-island,Judo Island,1.0,1.1,,,,"<span class=""searchmatch"">Judo</span>, for the 2019 <span class=""searchmatch"">Island</span> Games, held at the Devils Tower Camp - Gym, Gibraltar in July 2019.   *   Host nation (Gibraltar) &quot;2019 <span class=""searchmatch"">Island</span> Game - <span class=""searchmatch"">Judo</span>&quot;.","[1, 2000]"
2000-year-island,2000 Year Island,,,,,,"the International <span class=""searchmatch"">Year</span> for the Culture of Peace and the World Mathematical <span class=""searchmatch"">Year</span>. Popular culture holds the <span class=""searchmatch"">year</span> <span class=""searchmatch"">2000</span> as the first <span class=""searchmatch"">year</span> of the 21st century","[1, 2000]"
trans-town,Trans Town,,,,,,"the <span class=""searchmatch"">Trans</span>-Mongolian Railway, which coincides with the <span class=""searchmatch"">Trans</span>-Siberian as far as Ulan-Ude on Lake Baikal&#039;s eastern shore. From Ulan-Ude the <span class=""searchmatch"">Trans</span>-Mongolian","[1, 2000]"
carbador-island,Carbador Island,1.0,1.1,,,,,"[1, 2000]"
s-mart,S.Mart,,,,,,"with Soriana and Wal-<span class=""searchmatch"">Mart</span>. <span class=""searchmatch"">S</span>-<span class=""searchmatch"">Mart</span> opened its first store in Ciudad Juárez, then later expanded to 33 stores in Ciudad Juarez. <span class=""searchmatch"">S</span>-<span class=""searchmatch"">Mart</span> now has 38 stores in","[1, 2000]"
marron,Marron,1.0,1.1,,,,"<span class=""searchmatch"">Marron</span> is a name given to two closely related species of crayfish in Western Australia. Formerly considered a single species, it is since recognised as","[1, 1993]"
tomac,Tomac,1.0,1.1,,,,"Eli <span class=""searchmatch"">Tomac</span> (born November 14, 1992) is an American professional Motocross and Supercross racer who competes in the AMA Supercross and Motocross championships;","[1, 1989]"
riba-riba-no-mi,Riba Riba no Mi,1.0,1.1,,,,"Toni <span class=""searchmatch"">Ribas</span> (born Antoni García Cabra on 13 June 1975) is a Spanish pornographic actor and director. In 2010, he was inducted into the AVN Hall of Fame","[1, 1982]"
rurubu-one-piece,Rurubu One Piece,1.0,1.1,,,,"release is the original <span class=""searchmatch"">one</span>. The game was later published by Kemco for the Japanese release. The Nintendo release is the original <span class=""searchmatch"">one</span>. The game was later","[1, 1977]"
